PRIMARIO,FUERA DE SERVICIO,REPOSICION,TIPO DE EVENTO,ESTADO DEL CLIMA,OBSERVACION,BARRIO,DURACION,DURACION SEGS
PSA5,22/02/2020 11:51,22/02/2020 12:03,Accidental,Normal,No establecido.,Dr. Gaspar Rodríguez de Francia,0 days 00:12:00,720
PSA6,6/02/2020 09:34,6/02/2020 09:41,Accidental,Normal,Pájaro en contacto con Línea MT.,San Antonio,0 days 00:07:00,420
PSA6,6/02/2020 09:34,6/02/2020 09:41,Accidental,Normal,Pájaro en contacto con Línea MT.,Ita Pyta Punta,0 days 00:07:00,420
PSA6,6/02/2020 09:34,6/02/2020 09:41,Accidental,Normal,Pájaro en contacto con Línea MT.,Dr. Gaspar Rodríguez de Francia,0 days 00:07:00,420
PSA6,16/02/2020 16:32,16/02/2020 16:44,Accidental,Adverso,Al efectuar maniobras.,San Antonio,0 days 00:12:00,720
PSA6,16/02/2020 16:32,16/02/2020 16:44,Accidental,Adverso,Al efectuar maniobras.,Ita Pyta Punta,0 days 00:12:00,720
PSA6,16/02/2020 16:32,16/02/2020 16:44,Accidental,Adverso,Al efectuar maniobras.,Dr. Gaspar Rodríguez de Francia,0 days 00:12:00,720
PSA7,4/02/2020 22:18,4/02/2020 22:51,Accidental,Normal,No establecido.,Bañado Tacumbu,0 days 00:33:00,1980
PSA7,4/02/2020 22:18,4/02/2020 22:51,Accidental,Normal,No establecido.,Carlos A. López,0 days 00:33:00,1980
PSA7,18/02/2020 12:42,18/02/2020 14:50,Accidental,Normal,No establecido.,Bañado Tacumbu,0 days 02:08:00,7680
PSA7,18/02/2020 12:42,18/02/2020 14:50,Accidental,Normal,No establecido.,Carlos A. López,0 days 02:08:00,7680
PSA7,21/02/2020 16:28,21/02/2020 17:00,Accidental,Normal,Fuera de servicio ocasionado por tercero (contratista). 15 Proyectadas c/ O ´leary.,Bañado Tacumbu,0 days 00:32:00,1920
PSA7,21/02/2020 16:28,21/02/2020 17:00,Accidental,Normal,Fuera de servicio ocasionado por tercero (contratista). 15 Proyectadas c/ O ´leary.,Carlos A. López,0 days 00:32:00,1920
PSA7,24/02/2020 12:20,24/02/2020 12:36,Accidental,Normal,No establecido.,Bañado Tacumbu,0 days 00:16:00,960
PSA7,24/02/2020 12:20,24/02/2020 12:36,Accidental,Normal,No establecido.,Carlos A. López,0 days 00:16:00,960
PSA7,24/02/2020 13:34,24/02/2020 15:13,Accidental,Normal,Línea desprendida del aislador. Tte. Colman c/ Carlos Gómez.,Bañado Tacumbu,0 days 01:39:00,5940
PSA7,24/02/2020 13:34,24/02/2020 15:13,Accidental,Normal,Línea desprendida del aislador. Tte. Colman c/ Carlos Gómez.,Carlos A. López,0 days 01:39:00,5940
PSA7,28/02/2020 11:17,28/02/2020 11:36,Accidental,Normal,Ocasionado por terceros. Contratistas con Estado de Precaución.,Bañado Tacumbu,0 days 00:19:00,1140
PSA7,28/02/2020 11:17,28/02/2020 11:36,Accidental,Normal,Ocasionado por terceros. Contratistas con Estado de Precaución.,Carlos A. López,0 days 00:19:00,1140
PSA9,4/02/2020 11:33,4/02/2020 11:45,Accidental,Normal,Al efectuar maniobras de transferencias.,Carlos A. López,0 days 00:12:00,720
REP2,22/02/2020 07:35,22/02/2020 07:48,Accidental,Normal,Al efectuar maniobras.,Republicano,0 days 00:13:00,780
REP2,22/02/2020 07:35,22/02/2020 07:48,Accidental,Normal,Al efectuar maniobras.,Santa Librada,0 days 00:13:00,780
REP3,1/02/2020 11:20,1/02/2020 13:06,Accidental,Normal,Ramas sobre Línea MT. Avda. Perón a 2 Cuadras de Gral. Santos.,San Pablo,0 days 01:46:00,6360
REP3,1/02/2020 11:20,1/02/2020 13:06,Accidental,Normal,Ramas sobre Línea MT. Avda. Perón a 2 Cuadras de Gral. Santos.,Obrero,0 days 01:46:00,6360
REP3,1/02/2020 11:20,1/02/2020 13:06,Accidental,Normal,Ramas sobre Línea MT. Avda. Perón a 2 Cuadras de Gral. Santos.,San Vicente,0 days 01:46:00,6360
REP3,1/02/2020 11:20,1/02/2020 13:06,Accidental,Normal,Ramas sobre Línea MT. Avda. Perón a 2 Cuadras de Gral. Santos.,Republicano,0 days 01:46:00,6360
REP3,1/02/2020 11:20,1/02/2020 13:06,Accidental,Normal,Ramas sobre Línea MT. Avda. Perón a 2 Cuadras de Gral. Santos.,Santa Ana,0 days 01:46:00,6360
REP3,1/02/2020 11:20,1/02/2020 13:06,Accidental,Normal,Ramas sobre Línea MT. Avda. Perón a 2 Cuadras de Gral. Santos.,Jukyty,0 days 01:46:00,6360
REP3,1/02/2020 11:20,1/02/2020 13:06,Accidental,Normal,Ramas sobre Línea MT. Avda. Perón a 2 Cuadras de Gral. Santos.,Santa Librada,0 days 01:46:00,6360
REP3,1/02/2020 11:20,1/02/2020 13:06,Accidental,Normal,Ramas sobre Línea MT. Avda. Perón a 2 Cuadras de Gral. Santos.,Pirizal,0 days 01:46:00,6360
REP3,15/02/2020 18:02,15/02/2020 20:02,Accidental,Normal,No establecido.,San Pablo,0 days 02:00:00,7200
REP3,15/02/2020 18:02,15/02/2020 20:02,Accidental,Normal,No establecido.,Obrero,0 days 02:00:00,7200
REP3,15/02/2020 18:02,15/02/2020 20:02,Accidental,Normal,No establecido.,San Vicente,0 days 02:00:00,7200
REP3,15/02/2020 18:02,15/02/2020 20:02,Accidental,Normal,No establecido.,Republicano,0 days 02:00:00,7200
REP3,15/02/2020 18:02,15/02/2020 20:02,Accidental,Normal,No establecido.,Santa Ana,0 days 02:00:00,7200
REP3,15/02/2020 18:02,15/02/2020 20:02,Accidental,Normal,No establecido.,Jukyty,0 days 02:00:00,7200
REP3,15/02/2020 18:02,15/02/2020 20:02,Accidental,Normal,No establecido.,Santa Librada,0 days 02:00:00,7200
REP3,15/02/2020 18:02,15/02/2020 20:02,Accidental,Normal,No establecido.,Pirizal,0 days 02:00:00,7200
REP3,20/02/2020 13:44,20/02/2020 14:54,Accidental,Normal,No establecido.,San Pablo,0 days 01:10:00,4200
REP3,20/02/2020 13:44,20/02/2020 14:54,Accidental,Normal,No establecido.,Obrero,0 days 01:10:00,4200
REP3,20/02/2020 13:44,20/02/2020 14:54,Accidental,Normal,No establecido.,San Vicente,0 days 01:10:00,4200
REP3,20/02/2020 13:44,20/02/2020 14:54,Accidental,Normal,No establecido.,Republicano,0 days 01:10:00,4200
REP3,20/02/2020 13:44,20/02/2020 14:54,Accidental,Normal,No establecido.,Santa Ana,0 days 01:10:00,4200
REP3,20/02/2020 13:44,20/02/2020 14:54,Accidental,Normal,No establecido.,Jukyty,0 days 01:10:00,4200
REP3,20/02/2020 13:44,20/02/2020 14:54,Accidental,Normal,No establecido.,Santa Librada,0 days 01:10:00,4200
REP3,20/02/2020 13:44,20/02/2020 14:54,Accidental,Normal,No establecido.,Pirizal,0 days 01:10:00,4200
REP4,25/02/2020 15:24,25/02/2020 15:43,Accidental,Normal,No establecido.,Hipódromo,0 days 00:19:00,1140
REP5,1/02/2020 12:23,01/02/2020 14:23,Accidental,Normal,No establecido.,Tte. Silvio Pettirossi,0 days 02:00:00,7200
REP5,1/02/2020 12:23,01/02/2020 14:23,Accidental,Normal,No establecido.,San Vicente,0 days 02:00:00,7200
REP5,1/02/2020 12:23,01/02/2020 14:23,Accidental,Normal,No establecido.,Pinoza,0 days 02:00:00,7200
REP5,25/02/2020 15:24,25/02/2020 15:32,Accidental,Normal,No establecido.,Tte. Silvio Pettirossi,0 days 00:08:00,480
REP5,25/02/2020 15:24,25/02/2020 15:32,Accidental,Normal,No establecido.,San Vicente,0 days 00:08:00,480
REP5,25/02/2020 15:24,25/02/2020 15:32,Accidental,Normal,No establecido.,Pinoza,0 days 00:08:00,480
REP6,4/02/2020 21:19,4/02/2020 22:09,Accidental,Normal,"Abierto Interruptor, para efectuar reparación, tensor suelto. Obispo Maíz y Picuiba.",Tte. Silvio Pettirossi,0 days 00:50:00,3000
REP6,4/02/2020 21:19,4/02/2020 22:09,Accidental,Normal,"Abierto Interruptor, para efectuar reparación, tensor suelto. Obispo Maíz y Picuiba.",San Vicente,0 days 00:50:00,3000
REP6,4/02/2020 21:19,4/02/2020 22:09,Accidental,Normal,"Abierto Interruptor, para efectuar reparación, tensor suelto. Obispo Maíz y Picuiba.",Pinoza,0 days 00:50:00,3000
REP6,13/02/2020 13:56,13/02/2020 14:25,Accidental,Normal,"Abierto Interruptor, para efectuar reparación de Línea por soltarse y Línea protegida desprendida. Salida del Alimentador.",San Vicente,0 days 00:29:00,1740
REP6,13/02/2020 13:56,13/02/2020 14:25,Accidental,Normal,"Abierto Interruptor, para efectuar reparación de Línea por soltarse y Línea protegida desprendida. Salida del Alimentador.",Pinoza,0 days 00:29:00,1740
REP6,13/02/2020 13:56,13/02/2020 14:25,Accidental,Normal,"Abierto Interruptor, para efectuar reparación de Línea por soltarse y Línea protegida desprendida. Salida del Alimentador.",Pirizal,0 days 00:29:00,1740
REP6,22/02/2020 06:20,22/02/2020 07:57,Accidental,Normal,Indisponible por explosión en la celda.,San Vicente,0 days 01:37:00,5820
REP6,22/02/2020 06:20,22/02/2020 07:57,Accidental,Normal,Indisponible por explosión en la celda.,Pinoza,0 days 01:37:00,5820
REP6,22/02/2020 06:20,22/02/2020 07:57,Accidental,Normal,Indisponible por explosión en la celda.,Pirizal,0 days 01:37:00,5820
REP7,4/02/2020 21:19,4/02/2020 22:09,Accidental,Normal,"Abierto Interruptor, para efectuar reparación, tensor suelto. Obispo Maíz y Picuiba.",Tte. Silvio Pettirossi,0 days 00:50:00,3000
REP7,4/02/2020 21:19,4/02/2020 22:09,Accidental,Normal,"Abierto Interruptor, para efectuar reparación, tensor suelto. Obispo Maíz y Picuiba.",San Vicente,0 days 00:50:00,3000
