PRIMARIO,FUERA DE SERVICIO,REPOSICION,TIPO DE EVENTO,ESTADO DEL CLIMA,OBSERVACION,BARRIO,DURACION,DURACION SEGS
PSA4,11/03/2020 16:54,11/03/2020 17:17,Accidental,Normal,Fusible operado. Palacio de Gobierno.,Ita Pyta Punta,0 days 00:23:00,1380
PSA4,11/03/2020 18:45,11/03/2020 19:17,Accidental,Normal,Fusible operado. Palacio de Gobierno.,Ita Pyta Punta,0 days 00:32:00,1920
PSA4,13/03/2020 10:17,13/03/2020 10:21,Producción,Normal,Cambio de Fuente.,Ita Pyta Punta,0 days 00:04:00,240
PSA4,27/03/2020 03:05,27/03/2020 03:07,Producción,Normal,Cambio de Fuente CH-YAC/CH-IPU.,Ita Pyta Punta,0 days 00:02:00,120
PSA5,13/03/2020 10:17,13/03/2020 10:21,Producción,Normal,Cambio de Fuente.,La Encarnación,0 days 00:04:00,240
PSA5,13/03/2020 10:17,13/03/2020 10:21,Producción,Normal,Cambio de Fuente.,San Antonio,0 days 00:04:00,240
PSA5,13/03/2020 10:17,13/03/2020 10:21,Producción,Normal,Cambio de Fuente.,Ita Pyta Punta,0 days 00:04:00,240
PSA5,13/03/2020 10:17,13/03/2020 10:21,Producción,Normal,Cambio de Fuente.,Dr. Gaspar Rodríguez de Francia,0 days 00:04:00,240
PSA5,21/03/2020 10:30,21/03/2020 10:33,Accidental,Normal,Al efectuar maniobras.,La Encarnación,0 days 00:03:00,180
PSA5,21/03/2020 10:30,21/03/2020 10:33,Accidental,Normal,Al efectuar maniobras.,San Antonio,0 days 00:03:00,180
PSA5,21/03/2020 10:30,21/03/2020 10:33,Accidental,Normal,Al efectuar maniobras.,Ita Pyta Punta,0 days 00:03:00,180
PSA5,21/03/2020 10:30,21/03/2020 10:33,Accidental,Normal,Al efectuar maniobras.,Dr. Gaspar Rodríguez de Francia,0 days 00:03:00,180
PSA5,21/03/2020 10:59,21/03/2020 11:08,Accidental,Normal,"Desperfecto interno. PE AGPAR, Hernandarias e/ Humaitá y Haedo.",La Encarnación,0 days 00:09:00,540
PSA5,21/03/2020 10:59,21/03/2020 11:08,Accidental,Normal,"Desperfecto interno. PE AGPAR, Hernandarias e/ Humaitá y Haedo.",San Antonio,0 days 00:09:00,540
PSA5,21/03/2020 10:59,21/03/2020 11:08,Accidental,Normal,"Desperfecto interno. PE AGPAR, Hernandarias e/ Humaitá y Haedo.",Ita Pyta Punta,0 days 00:09:00,540
PSA5,21/03/2020 10:59,21/03/2020 11:08,Accidental,Normal,"Desperfecto interno. PE AGPAR, Hernandarias e/ Humaitá y Haedo.",Dr. Gaspar Rodríguez de Francia,0 days 00:09:00,540
PSA5,21/03/2020 11:45,21/03/2020 11:48,Accidental,Normal,Al efectuar maniobras.,La Encarnación,0 days 00:03:00,180
PSA5,21/03/2020 11:45,21/03/2020 11:48,Accidental,Normal,Al efectuar maniobras.,San Antonio,0 days 00:03:00,180
PSA5,21/03/2020 11:45,21/03/2020 11:48,Accidental,Normal,Al efectuar maniobras.,Ita Pyta Punta,0 days 00:03:00,180
PSA5,21/03/2020 11:45,21/03/2020 11:48,Accidental,Normal,Al efectuar maniobras.,Dr. Gaspar Rodríguez de Francia,0 days 00:03:00,180
PSA5,27/03/2020 03:05,27/03/2020 03:07,Producción,Normal,Cambio de Fuente CH-YAC/CH-IPU.,La Encarnación,0 days 00:02:00,120
PSA5,27/03/2020 03:05,27/03/2020 03:07,Producción,Normal,Cambio de Fuente CH-YAC/CH-IPU.,San Antonio,0 days 00:02:00,120
PSA5,27/03/2020 03:05,27/03/2020 03:07,Producción,Normal,Cambio de Fuente CH-YAC/CH-IPU.,Ita Pyta Punta,0 days 00:02:00,120
PSA5,27/03/2020 03:05,27/03/2020 03:07,Producción,Normal,Cambio de Fuente CH-YAC/CH-IPU.,Dr. Gaspar Rodríguez de Francia,0 days 00:02:00,120
PSA5,28/03/2020 01:02,28/03/2020 01:18,Accidental,Normal,No establecido.,La Encarnación,0 days 00:16:00,960
PSA5,28/03/2020 01:02,28/03/2020 01:18,Accidental,Normal,No establecido.,San Antonio,0 days 00:16:00,960
PSA5,28/03/2020 01:02,28/03/2020 01:18,Accidental,Normal,No establecido.,Ita Pyta Punta,0 days 00:16:00,960
PSA5,28/03/2020 01:02,28/03/2020 01:18,Accidental,Normal,No establecido.,Dr. Gaspar Rodríguez de Francia,0 days 00:16:00,960
PSA6,13/03/2020 10:17,13/03/2020 10:21,Producción,Normal,Cambio de Fuente.,San Antonio,0 days 00:04:00,240
PSA6,13/03/2020 10:17,13/03/2020 10:21,Producción,Normal,Cambio de Fuente.,Ita Pyta Punta,0 days 00:04:00,240
PSA6,13/03/2020 10:17,13/03/2020 10:21,Producción,Normal,Cambio de Fuente.,Dr. Gaspar Rodríguez de Francia,0 days 00:04:00,240
PSA6,15/03/2020 16:40,15/03/2020 16:43,Accidental,Normal,Al efectuar maniobras.,San Antonio,0 days 00:03:00,180
PSA6,15/03/2020 16:40,15/03/2020 16:43,Accidental,Normal,Al efectuar maniobras.,Ita Pyta Punta,0 days 00:03:00,180
PSA6,15/03/2020 16:40,15/03/2020 16:43,Accidental,Normal,Al efectuar maniobras.,Dr. Gaspar Rodríguez de Francia,0 days 00:03:00,180
PSA6,19/03/2020 03:46,19/03/2020 04:50,Accidental,Normal,Línea MT en cortocircuito. De Las Llanas c/ Río de La Plata.,San Antonio,0 days 01:04:00,3840
PSA6,19/03/2020 03:46,19/03/2020 04:50,Accidental,Normal,Línea MT en cortocircuito. De Las Llanas c/ Río de La Plata.,Ita Pyta Punta,0 days 01:04:00,3840
PSA6,19/03/2020 03:46,19/03/2020 04:50,Accidental,Normal,Línea MT en cortocircuito. De Las Llanas c/ Río de La Plata.,Dr. Gaspar Rodríguez de Francia,0 days 01:04:00,3840
PSA6,27/03/2020 03:05,27/03/2020 03:07,Producción,Normal,Cambio de Fuente CH-YAC/CH-IPU.,San Antonio,0 days 00:02:00,120
PSA6,27/03/2020 03:05,27/03/2020 03:07,Producción,Normal,Cambio de Fuente CH-YAC/CH-IPU.,Ita Pyta Punta,0 days 00:02:00,120
PSA6,27/03/2020 03:05,27/03/2020 03:07,Producción,Normal,Cambio de Fuente CH-YAC/CH-IPU.,Dr. Gaspar Rodríguez de Francia,0 days 00:02:00,120
PSA7,7/03/2020 08:24,7/03/2020 09:45,Accidental,Normal,No establecido.,Bañado Tacumbu,0 days 01:21:00,4860
PSA7,7/03/2020 08:24,7/03/2020 09:45,Accidental,Normal,No establecido.,Carlos A. López,0 days 01:21:00,4860
PSA7,13/03/2020 10:17,13/03/2020 10:21,Producción,Normal,Cambio de Fuente.,Bañado Tacumbu,0 days 00:04:00,240
PSA7,13/03/2020 10:17,13/03/2020 10:21,Producción,Normal,Cambio de Fuente.,Carlos A. López,0 days 00:04:00,240
PSA7,18/03/2020 19:05,18/03/2020 19:17,Accidental,Adverso,Condiciones climáticas adversas.,Bañado Tacumbu,0 days 00:12:00,720
PSA7,18/03/2020 19:05,18/03/2020 19:17,Accidental,Adverso,Condiciones climáticas adversas.,Carlos A. López,0 days 00:12:00,720
PSA7,27/03/2020 03:05,27/03/2020 03:07,Producción,Normal,Cambio de Fuente CH-YAC/CH-IPU.,Bañado Tacumbu,0 days 00:02:00,120
PSA7,27/03/2020 03:05,27/03/2020 03:07,Producción,Normal,Cambio de Fuente CH-YAC/CH-IPU.,Carlos A. López,0 days 00:02:00,120
PSA8,13/03/2020 10:17,13/03/2020 10:21,Producción,Normal,Cambio de Fuente.,San Antonio,0 days 00:04:00,240
PSA8,27/03/2020 03:05,27/03/2020 03:07,Producción,Normal,Cambio de Fuente CH-YAC/CH-IPU.,San Antonio,0 days 00:02:00,120
PSA9,13/03/2020 10:17,13/03/2020 10:21,Producción,Normal,Cambio de Fuente.,Carlos A. López,0 days 00:04:00,240
PSA9,27/03/2020 03:05,27/03/2020 03:07,Producción,Normal,Cambio de Fuente CH-YAC/CH-IPU.,Carlos A. López,0 days 00:02:00,120
